見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「泉茂－ハンサムな絵のつくりかた」,展示,～3月26日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017－春 特集「群像－交錯する声」,展示,～5月7日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8670　,073-423-2467 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「躍動する紀南武士－安宅氏と小山氏－」,展示,3月11日～4月16日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,春期企画展「古代のアクセサリー」,展示,3月14日～5月14日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,"フカミンのおしゃべり考古学(6)",イベント,3月17日13:30～15:30,,18歳以上,30人（先着順）,,2月10日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,古墳ガイドツアー(3),イベント,3月19日13:30～15:30,,小学生以上,30人（先着順）,,3月3日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,裏方探検ツアー(2),イベント,3月18日10:00～12:00,,小学生以上（小学4年生以下は保護者同伴）,20人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,おはなし会(3),イベント,3月25日15:00～15:30,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,巨大アンモナイトをさがせ！！,イベント,3月26日13:00～16:00,湯浅町栖原,小学生以上(小学生は保護者同伴),100人（抽選）,,3月12日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,第6回万葉写真・短歌コンクール作品展示会日曜体験教室「ポエムをつくろう」の写真,展示,3月4～31日,,,,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「ポエムをつくろう」,イベント,3月26日14:00～15:30,,小学生以上(小学生は保護者同伴),20人（先着順）,400円,事前申込,入場無料
